geocode,total,owned_loan,owned_clear,rented
37001,27083,27877,10864,2837
37003,6909,1539,666,315
37005,2362,146,48,26
37007,2571,11597,4121,2652
37009,5359,145,66,38
37011,3239,59,21,5
37013,6752,12150,3949,2620
37015,1265,12317,5188,3159
37017,4313,12036,4657,3465
37019,19673,12200,5571,2607
37021,59812,14164,4460,1321
37023,18291,4687,2055,657
37025,26475,27139,13591,1528
37027,18743,3971,1401,504
37029,1319,1343,744,332
37031,15351,3800,1188,877
37033,2745,7364,3399,1718
37035,30755,12692,4768,1136
37037,8650,8357,3958,1837
37039,4942,358,139,88
37041,1903,4947,1701,914
37043,2075,60,16,13
37045,18202,20002,7196,2170
37047,7920,16069,5737,4262
37049,20330,22220,7877,3306
37051,58253,115941,48235,7943
37053,3984,1306,621,268
37055,9047,809,318,121
37057,31412,14018,5079,1041
37059,6131,2667,1321,421
37061,7616,14547,4999,3824
37063,36727,97256,40241,4352
37065,5105,31715,12380,4065
37067,49681,87872,34869,5227
37069,7672,15347,6807,2792
37071,42013,30755,11654,2104
37073,1217,3996,1920,1161
37075,1380,2,2,0
37077,6168,16244,7521,2428
37079,2168,6765,2628,1296
37081,66753,152367,60341,6859
37083,5308,28193,9575,5933
37085,21932,23465,9536,2957
37087,13640,561,222,108
37089,20994,3105,1316,381
37091,1799,13602,5399,2982
37093,5280,15660,8348,2078
37095,846,1301,502,397
37097,26893,18882,7532,1901
37099,9491,499,86,45
37101,25952,24972,12166,1860
37103,1283,3239,1339,887
37105,9676,11231,4413,1168
37107,7271,23572,7650,2930
37109,14895,4229,1826,528
37111,9747,1255,481,249
37113,7074,321,107,54
37115,4268,90,40,19
37117,2650,10558,3709,2081
37119,127969,277566,121708,10054
37121,3151,36,7,5
37123,3990,4821,1743,1283
37125,14195,11707,4546,2215
37127,11477,34609,13037,3598
37129,50919,28674,9103,2204
37131,1466,12434,4844,3351
37133,46770,26291,10797,1852
37135,28932,14436,5589,1659
37137,1989,2229,845,746
37139,5483,13229,5091,1556
37141,8104,8880,4016,2313
37143,1853,3325,1345,643
37145,5612,10542,4898,1339
37147,31004,55539,18502,4320
37149,4074,886,362,262
37151,28169,8064,3305,993
37153,7421,13650,4673,2629
37155,11122,30880,9548,6502
37157,17111,17473,7102,2440
37159,24649,20557,6806,1981
37161,14012,6722,2215,1101
37163,7778,16835,6811,3459
37165,4049,13149,4460,2276
37167,11490,6083,1941,891
37169,8823,1888,887,485
37171,15293,2728,1029,494
37173,2346,38,1,19
37175,6796,1088,377,137
37177,501,1219,357,445
37179,22020,23429,12743,2018
37181,4781,22090,7667,3256
37183,137124,180372,78374,7397
37185,1470,10262,4033,2743
37187,944,6512,2071,1555
37189,17496,629,167,56
37191,18770,37599,13454,3794
37193,14267,2657,1074,513
37195,10022,31107,10667,2672
37197,7166,1168,453,254
37199,3648,129,24,37
